ordinal   number    name                        hash
395       10d       NtLockVirtualMemory  8e6d84c5a130e7dcceff4b03f4a0bfbeddd7c4a2d62e4997030d87f44f0eb098
396       10e       NtMakePermanentObject  2a65ff0c6a15d10e725abb66556fb1f5a4cf089812afeca19724d5f7927ee1e2
398       110       NtManageHotPatch  79bf74d1f495b863335b89cabbc1afc73406e5bdae457d267a3df6b3c24afd55
399       111       NtManagePartition  b8a0409ec0d22809de62e9b546aed7518a7a8ea91ec951d3b9c5590880038727
400       112       NtMapCMFModule  47eefb897799be45c015ec61e4a8ba5a487f00fad55d25a7b04b7fedbf01f6c4
401       113       NtMapUserPhysicalPages  3040c84e6a5eefa53d9b9e9c3c7929cf07b67a069525c961cfe5cc785a551e0c
402       3         NtMapUserPhysicalPagesScatter  bd88c3947b45f52ae54bcb60e6fb94d880f95c9d9516eb7e91788055779f1d70
405       115       NtModifyBootEntry  63c76db5af24854f04e9c383231822efcc0f875fc9b28048ce0ce41d0bde8f78
406       116       NtModifyDriverEntry  bb4bc4e0c3134fdc66d41ef79d2bb599260765c06dda0feec1234f48342a66fc
407       117       NtNotifyChangeDirectoryFile  162cb1a62b727958039d9d781aab026ef84df8df25767a3bf4459022f32623f3
408       118       NtNotifyChangeDirectoryFileEx  0ece60262a8f94d74d8a925ebbd406f8f894bbaa8d367d6108ecb016eebf4721
409       119       NtNotifyChangeKey  9235c2ff91d7f426891dce615af8263a2b87cc467537b27043814fcf98dd5240
410       11a       NtNotifyChangeMultipleKeys  dc0ff91c0f96a411e6462bbf50a6a94f5edeb34a9d6a7aaab22b9926b1ecda05
411       11b       NtNotifyChangeSession  dcef1705e17f036d2ad4be6ca06ac6ddb37a8a0325e9259fe8f5830272fc0303
412       58        NtOpenDirectoryObject  98a4b93fccd02c9abd1efacf8300e9f5effb8a81f1a2c894b2c4e9fcf0310f88
413       11c       NtOpenEnlistment  e85bbb4a2fc6706b804983f45cee34123cd705359ce96cee8bf3f91a7c6e7a51
414       40        NtOpenEvent  0d3780e0693b52a9ad2fc73d55606e499925ed4e2312456c1fa8476124f4a641
415       11d       NtOpenEventPair  78c22b5c6258936346dd18153fc4752d4ea0a6f522dbe8f27d0a080252953801
416       33        NtOpenFile  192c5568f64010f34ce3f45052a76e6c9fca682eac7ced1a1026ef6ebdb9c85d
417       11e       NtOpenIoCompletion  8da387efe93c2f025141c146ece681a463d819d612fbcac52b2c95a564a81272
418       11f       NtOpenJobObject  927a03713ff8329679a74c5d05470d19f972151aac5ebb4f55ad807a40c3587d
419       12        NtOpenKey   866fa37b6dc7018ad37579fe73981de1e6d33cc4ba2f2e545737c2cbee8cc9e6
420       120       NtOpenKeyEx  bf92dff67664a4a236075b3a119da887967e467fe19656e6e77ae02e6231d05a
421       121       NtOpenKeyTransacted  2a8b9fba63c29d459dbb0fa0354e9ab3bdeb3429357eb3f8f221c98640c5d6de
422       122       NtOpenKeyTransactedEx  2a79dd8221fea2152e29999ba20aeb5a165176ea4e94784d887280777a8e6d12
423       123       NtOpenKeyedEvent  a47ec6195f94e6f4b31d3d7cf727a705664b0b032390fbb89195fc82ce77e0be
424       124       NtOpenMutant  ab1e1f774d49b7e612b027f1f22b935c8113cdccdd4a005451ec62a670e5d67e
425       125       NtOpenObjectAuditAlarm  90621d8aca8123c114381bb0ad6a9ae87cd37e91301c9794da9d241d02448b9b
426       126       NtOpenPartition  a3b800db4bd1e6c0277e47669b2f9f4b8b089666bd41690618e940bf925c9fb5
427       127       NtOpenPrivateNamespace  4ae3217dc661d41a8cb966f1a3d83ffc0d81b730d95088a256d35127ae5e6244
428       26        NtOpenProcess  44166eb8fd1e369cf4f6f1b9aecf505ae10096f1566e7752cbe8d7d79de63570
429       128       NtOpenProcessToken  2a75d82e28d2f0053af0fb4501d14ca94395d78a6a72e28e04566c3395c5c871
430       30        NtOpenProcessTokenEx  27af71fa6aee5b05c33a089e95170131a1ac3dc317f6ee447697e6762e99cd09
